time,utc,pdt, open , high , low , close , DailyPLDot , DailyETop ,DailyXTop,DailyXTop2,DailyEBot,DailyXBot,DailyXBot2,HourlyPLDot,HourlyETop,HourlyXTop,HourlyXTop2,HourlyEBot,HourlyXBot,HourlyXBot2
1655416800,6/16/22 22:00,6/16/22 15:00," 12,368.00 "," 12,392.00 "," 12,355.25 "," 12,355.75 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12311.92,12355.58,12399.25,12442.92,12280.00,12248.08,12216.17
1655420400,6/16/22 23:00,6/16/22 16:00," 12,355.75 "," 12,371.00 "," 12,332.00 "," 12,361.25 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12344.78,12381.81,12418.83,12455.86,12317.06,12289.33,12261.61
1655424000,6/17/22 0:00,6/16/22 17:00," 12,361.00 "," 12,398.00 "," 12,329.50 "," 12,370.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12358.47,12384.61,12410.75,12436.89,12337.03,12315.58,12294.14
1655427600,6/17/22 1:00,6/16/22 18:00," 12,369.50 "," 12,417.75 "," 12,362.75 "," 12,410.75 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12362.75,12386.58,12410.42,12434.25,12338.50,12314.25,12290.00
1655431200,6/17/22 2:00,6/16/22 19:00," 12,410.50 "," 12,436.25 "," 12,384.50 "," 12,399.25 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12372.56,12403.69,12434.83,12465.97,12349.53,12326.50,12303.47
1655434800,6/17/22 3:00,6/16/22 20:00," 12,399.25 "," 12,427.25 "," 12,385.50 "," 12,394.75 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12389.86,12420.81,12451.75,12482.69,12362.39,12334.92,12307.44
1655438400,6/17/22 4:00,6/16/22 21:00," 12,395.00 "," 12,455.25 "," 12,391.75 "," 12,448.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12402.08,12426.58,12451.08,12475.58,12377.08,12352.08,12327.08
1655442000,6/17/22 5:00,6/16/22 22:00," 12,447.75 "," 12,461.25 "," 12,424.00 "," 12,424.75 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12413.61,12439.97,12466.33,12492.69,12387.64,12361.67,12335.69
1655445600,6/17/22 6:00,6/16/22 23:00," 12,425.00 "," 12,429.75 "," 12,363.75 "," 12,391.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12423.61,12446.81,12470.00,12493.19,12399.31,12375.00,12350.69
1655449200,6/17/22 7:00,6/17/22 0:00," 12,391.25 "," 12,442.00 "," 12,366.25 "," 12,435.25 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12421.06,12448.94,12476.83,12504.72,12393.36,12365.67,12337.97
1655452800,6/17/22 8:00,6/17/22 1:00," 12,434.50 "," 12,471.25 "," 12,416.50 "," 12,434.25 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12415.33,12446.00,12476.67,12507.33,12386.33,12357.33,12328.33
1655456400,6/17/22 9:00,6/17/22 2:00," 12,433.75 "," 12,467.25 "," 12,419.50 "," 12,455.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12416.67,12451.17,12485.67,12520.17,12385.67,12354.67,12323.67
1655460000,6/17/22 10:00,6/17/22 3:00," 12,454.25 "," 12,476.75 "," 12,435.00 "," 12,455.75 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12434.14,12467.53,12500.92,12534.31,12408.11,12382.08,12356.06
1655463600,6/17/22 11:00,6/17/22 4:00," 12,456.25 "," 12,489.75 "," 12,442.25 "," 12,456.00 ",12608.33333,12827.08333,13045.83,13264.58,12346.83,12085.33,11823.83,12447.92,12472.17,12496.42,12520.67,12424.08,12400.25,12376.42
